"track_name","artist_name","artist_count","released_year","released_month","released_day","in_spotify_charts","streams","in_apple_charts","bpm","mode","danceability_pct","valence_pct","energy_pct","acousticness_pct","instrumentalness_pct","liveness_pct","speechiness_pct"
"яПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПНяПН","YOASOBI",1,2023,4,12,"16","143573775","102",166,"Major",57,84,94,11,0,37,9
"Reminder","The Weeknd",1,2016,11,25,"17","684675814","85",160,"Major",71,40,50,16,0,16,22
"Shake It Off","Taylor Swift",1,2014,1,1,"13","1113838873","70",160,"Major",65,95,80,5,0,41,16
"Why'd You Only Call Me When You're High?","Arctic Monkeys",1,2013,1,1,"29","1267333350","70",92,"Major",70,81,63,4,0,8,4
"SNAP","Rosa Linn",1,2022,3,19,"18","726307468","80",170,"Major",56,53,64,11,0,45,6
"Shape of You","Ed Sheeran",1,2017,1,6,"10","3562543890","0",96,"Minor",83,93,65,58,0,9,8
"Night Changes","One Direction",1,2014,11,17,"18","1131090940","20",120,"Major",67,40,52,86,0,12,4
"Fin de Semana","Oscar Maydon, Junior H",2,2023,1,13,"14","307370144","84",98,"Major",70,37,54,6,0,9,8
"Creep","Radiohead",1,1992,9,21,"7","1271293243","72",92,"Major",53,12,34,1,0,12,4
"Car's Outside","James Arthur",1,2019,10,18,"10","265882712","25",150,"Major",34,24,56,4,0,11,3
"Apocalypse","Cigarettes After Sex",1,2017,3,21,"17","841749534","96",94,"Major",37,17,47,2,46,11,3
"Cheques","Shubh",1,2023,5,19,"8","47956378","10",90,"Minor",74,36,63,26,0,27,5
"Pink + White","Frank Ocean",1,2016,8,20,"30","806397070","68",160,"Major",54,54,55,67,0,42,11
"Circles","Post Malone",1,2019,8,30,"16","2132335812","73",120,"Major",70,59,75,24,0,9,4
"Just The Way You Are","Bruno Mars",1,2010,1,1,"13","1641426668","0",109,"Major",63,46,85,1,0,9,5
"Take Me To Church","Hozier",1,2013,9,13,"31","2135158446","99",129,"Minor",57,41,66,63,0,12,5
"Bebe Dame","Fuerza Regida, Grupo Frontera",2,2022,12,16,"22","367316268","129",157,"Major",54,75,60,30,0,7,5
"You Belong With Me (TaylorяПНяПНяПНs Ve","Taylor Swift",1,2021,4,9,"12","350381515","90",130,"Major",63,49,73,5,0,9,3
"Titi Me PreguntяПН","Bad Bunny",1,2022,5,6,"42","1264310836","133",107,"Minor",65,19,72,10,0,13,25
"Better Than Revenge (Taylor's Version)","Taylor Swift",1,2023,7,7,"11","30343206","33",146,"Minor",50,67,89,0,0,19,8
"Shut up My Moms Calling","Hotel Ugly",1,2020,2,10,"14","405136812","50",139,"Minor",48,37,41,32,0,10,10
"Have You Ever Seen The Rain?","Creedence Clearwater Revival",1,1968,7,1,"14","1145727611","37",116,"Major",74,76,70,7,0,13,3
"Es un Secreto","Plan B",1,2010,7,20,"36","540654286","3",95,"Minor",84,52,77,12,0,7,4
"POLARIS - Remix","Feid, Mora, Saiko, Quevedo",4,2023,6,8,"33","57312735","46",170,"Minor",62,55,80,15,0,37,7
"Ditto","NewJeans",1,2022,12,19,"22","397582059","125",134,"Minor",81,18,64,3,0,10,11
"Take On Me","a-ha",1,1984,10,19,"17","1479115056","0",84,"Minor",57,86,90,2,0,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,"4","86773632","46",146,"Minor",61,20,48,21,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,"14","133753727","18",74,"Minor",53,24,67,11,0,10,28
"AcrяПНяПНs","Shakira",1,2023,5,11,"29","123124076","50",144,"Major",75,35,48,84,0,10,12
"AMG","Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,"19","463564958","117",136,"Minor",77,79,73,15,0,27,10
"Phir Aur Kya Chahiye (From Zara Hatke Zara Bachke)","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,"6","64533040","71",100,"Major",56,53,55,53,0,12,4
"S-Class","Stray Kids",1,2023,6,2,"19","65496046","101",105,"Minor",89,67,78,9,0,7,33
"Hits Different","Taylor Swift",1,2023,5,26,"0","68616963","15",106,"Major",67,24,78,15,0,30,4
"Chanel","Becky G, Peso Pluma",2,2023,3,30,"10","161460990","92",132,"Major",85,53,68,40,0,9,4
"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","Metro Boomin, Coi Leray",2,2023,6,2,"5","70106975","41",120,"Major",78,5,30,21,0,13,5
"Area Codes","Kaliii, Kaliii",2,2023,3,17,"13","113509496","34",155,"Major",82,51,39,2,0,9,49
"Abcdario","Junior H, Eden MuяПНяПН",2,2023,5,13,"5","89933133","60",129,"Major",70,42,43,78,0,11,3
"Obsessed","Abhijay Sharma, Riar Saab",2,2022,9,29,"6","71007139","79",135,"Minor",80,85,74,62,0,8,9
"PiяПНяПНman DeяПН","Semicenk, DoяПНяПНu ",2,2023,6,2,"3","43522589","6",98,"Minor",73,45,62,28,0,13,13
"FLOWER","JISOO",1,2023,3,31,"18","232896922","110",124,"Minor",84,64,39,3,0,11,4
